index,topic
2021-06-30 00:00:00,16
2021-06-30 01:00:00,9
2021-06-30 02:00:00,16
2021-06-30 03:00:00,9
2021-06-30 04:00:00,9
2021-06-30 05:00:00,10
2021-06-30 06:00:00,4
2021-06-30 07:00:00,10
2021-06-30 08:00:00,4
2021-06-30 09:00:00,13
2021-06-30 10:00:00,14
2021-06-30 11:00:00,17
2021-06-30 12:00:00,16
2021-06-30 13:00:00,21
2021-06-30 14:00:00,19
2021-06-30 15:00:00,30
2021-06-30 16:00:00,19
2021-06-30 17:00:00,16
2021-06-30 18:00:00,12
2021-06-30 19:00:00,21
2021-06-30 20:00:00,13
2021-06-30 21:00:00,13
2021-06-30 22:00:00,16
2021-06-30 23:00:00,13
