dateTime,top0,top1,top2,top3,top4,top5,top6,top7,top8,top9
2021-04-22 00:00:00,5,7,9,4,6,2,7,7,9,12
2021-04-22 01:00:00,3,8,7,9,7,2,9,4,7,10
2021-04-22 02:00:00,5,4,9,5,7,4,9,6,3,6
2021-04-22 03:00:00,5,3,2,5,3,9,6,7,11,4
2021-04-22 04:00:00,10,5,4,5,9,6,4,8,4,3
2021-04-22 05:00:00,5,11,8,3,6,3,4,2,8,8
2021-04-22 06:00:00,3,4,4,4,4,6,10,5,8,1
2021-04-22 07:00:00,6,8,3,6,11,8,3,5,8,4
2021-04-22 08:00:00,8,3,10,5,3,5,3,7,9,8
2021-04-22 09:00:00,13,4,3,1,2,11,5,10,10,8
2021-04-22 10:00:00,9,8,7,6,14,7,6,12,7,11
2021-04-22 11:00:00,6,9,5,12,11,10,6,10,6,7
2021-04-22 12:00:00,9,13,12,8,11,7,9,16,7,13
2021-04-22 13:00:00,11,13,13,12,13,8,13,13,14,18
2021-04-22 14:00:00,14,17,12,17,12,8,7,14,31,13
2021-04-22 15:00:00,18,11,8,11,9,10,20,5,18,20
2021-04-22 16:00:00,17,22,5,14,21,16,13,19,14,12
2021-04-22 17:00:00,19,12,12,11,19,12,12,13,15,23
2021-04-22 18:00:00,10,10,10,11,16,6,11,10,12,15
2021-04-22 19:00:00,15,9,12,9,17,9,9,10,8,23
2021-04-22 20:00:00,14,11,11,12,9,8,8,17,8,15
2021-04-22 21:00:00,10,13,12,5,22,7,8,14,8,12
2021-04-22 22:00:00,3,10,13,11,9,6,6,9,6,14
2021-04-22 23:00:00,7,6,2,6,7,5,10,10,6,16
