created_at,full_text
2021-06-30 22:26:18+00:00,The board voted 9-4 in favor of granting a tenured position to Hannah-Jones on Wednesday. https://t.co/t3IR0JaZ7Q
2021-06-30 12:07:20+00:00,"Fiallo was one of the most celebrated writers in the romance genre, having penned 43 telenovelas, with over 80 adaptations of her work around the world https://t.co/RgCwdSVbqz"
2021-06-30 22:26:18+00:00,The board voted 9-4 in favor of granting a tenured position to Hannah-Jones on Wednesday. https://t.co/t3IR0JaZ7Q
2021-06-30 12:07:20+00:00,"Fiallo was one of the most celebrated writers in the romance genre, having penned 43 telenovelas, with over 80 adaptations of her work around the world https://t.co/RgCwdSVbqz"
2021-06-30 21:49:51+00:00,"Building on the buzz created from its ""Simpsons""-""Star Wars"" team-up, Disney+ announced its next short will bring the beloved Loki into the animated world of ""The Simpsons."" https://t.co/3otrHf2iwm"
2021-06-30 18:09:00+00:00,"With Tokyo 2020 upon us, here are some magical Olympic moments since Sydney 2000. https://t.co/0EhtkI5epZ https://t.co/AfMzLoBbSf"
2021-06-30 14:30:16+00:00,"""It's how rock and roll works. You take the broken pieces of another thrill and make a brand new toy. That's what I did."" 

Elvis Costello dismisses claims Olivia Rodrigo plagiarized his music. https://t.co/bbW9SrcPWV https://t.co/dnD1Ho1pIu"
2021-06-30 14:04:24+00:00,"With Tokyo 2020 upon us, here are some magical Olympic moments since Sydney 2000. https://t.co/0EhtkI5epZ https://t.co/5xjffQlHOX"
2021-06-30 05:01:05+00:00,"When made correctly, tea can be a powerful booster to your health. And not just because of its chemicals.

Simply making a cup of tea could be beneficial to you. CNN turns to a psychologist and a London-based tearista for answers. https://t.co/PxbHQqbo6H https://t.co/wQfUHJuQfT"
2021-06-30 22:46:07+00:00,"Nikole Hannah-Jones, the leader of The Times’s 1619 Project, was granted tenure by the University of North Carolina after a weekslong dispute. https://t.co/BTJHUjHbsd"
2021-06-30 21:45:06+00:00,"Perfect for a picnic: This chickpea salad is a lighter, easier version of a classic American potato salad. https://t.co/hZiDSCsmGX"
2021-06-30 20:14:53+00:00,"RT @katierogers: “I literally just wake up every day waiting to find out that someone else has jumped in front of us, and some book that I…"
2021-06-30 13:50:09+00:00,"RT @danarubinstein: “When you’re out in the streets and in the communities, and people are literally shouting at him, ‘I’m going to vote fo…"
2021-06-30 10:35:00+00:00,"What's next for Britney Spears? Join @LizDDay, @starksamantha, @joecoscarelli and 
@stavernise for a chat about the case on @TwitterSpaces on Wednesday at 7 p.m. ET. https://t.co/R2PVpGFREf https://t.co/B05E0KCUFM"
2021-06-30 04:40:05+00:00,"Loose Earl Grey tea stirred into buttery batter adds a sweet, floral essence that’s subtle but lovely. A little dark chocolate and orange zest makes this cake extra special. https://t.co/g7JiQr4cvK"
2021-06-30 03:00:08+00:00,"The play between salty, hot cheese and sweet, juicy tomatoes is what makes this dish sizzle. https://t.co/5l3XSQD2wZ"
2021-06-30 02:20:04+00:00,RT @jimtankersley: Biden kicks off his “This deal is awesome / I love it / you too should love it/ I definitely did not mean to threaten to…
2021-06-30 22:52:00+00:00,Nikole Hannah-Jones granted tenure by UNC board following publicized battle https://t.co/xWOFodVHiX
2021-06-30 22:25:02+00:00,Bill Cosby breaks silence about newfound freedom in eye-opening tweet https://t.co/bMXn3Nvf6t
2021-06-30 21:33:42+00:00,"Portland resident next to homeless camp installs cameras, electric fence
https://t.co/ik0zduKFuy"
2021-06-30 21:23:01+00:00,"Britney Spears' conservator slams Jamie Spears' claims she blocked star's personal care, medical freedom
https://t.co/SVmggQLbQh"
2021-06-30 20:22:40+00:00,"George W. Bush reacts to Donald Rumsfeld's death: 'We mourn an exemplary public servant'
https://t.co/eAwLfn1Wcb"
2021-06-30 20:12:22+00:00,"Bill Cosby’s sudden release from prison stuns Twitter: ‘Justice was overturned’
https://t.co/OwxJYrrIGa"
2021-06-30 19:26:54+00:00,"Dan Crenshaw doubles down on Gwen Berry criticism: 'You should like the USA'
https://t.co/EygjdJB0Jp"
2021-06-30 19:12:38+00:00,"Yankees' Jasson Dominguez will make history at All-Star Futures Game
https://t.co/ar1P8fI8vn"
2021-06-30 19:02:14+00:00,"Blackhawks' Jonathan Toews opens up about illness that kept him sidelined in 2020-21 season
https://t.co/MxQQDBN5oa"
2021-06-30 17:42:24+00:00,"Britney Spears' father Jamie Spears blames Jodi Montgomery for blocking star's personal care, medical freedom
https://t.co/uwv2WtGsL2"
2021-06-30 13:12:31+00:00,"What to know about Allison Mack's sentencing
https://t.co/hrhflxdjDP"
2021-06-30 12:22:52+00:00,"Blink 182's Mark Hoppus gives fans an update on his cancer treatment

https://t.co/adQEOpxrbR"
2021-06-30 12:22:36+00:00,"Princess Diana would have been ‘quite upset’ over Prince William, Prince Harry’s strained relationship: author

https://t.co/GXzj5Nf4dt"
2021-06-30 12:22:20+00:00,"Brian Kelley says he loved having 'full control' over songs on first solo album

https://t.co/rE5ixeLZBk"
2021-06-30 10:38:00+00:00,"Exclusive interview: Kevin Hart collecting muscle cars on new Motor Trend show

https://t.co/fAZlEFtvQ5"
2021-06-30 00:51:45+00:00,"Missing pet dog returns home in the middle of the night but that's not even the best part of the story
https://t.co/SsG3jucApv"
2021-06-30 22:47:04+00:00,"Phylicia Rashad, who co-starred as Clair Huxtable alongside Bill Cosby in 'The Cosby Show,' defends Cosby after his sexual assault conviction was overturned: ""A terrible wrong is being righted."" https://t.co/0pCgm30ZhF"
2021-06-30 21:17:05+00:00,Opinion | Sam Thielman: Netflix's 'America: The Motion Picture' knows who its audience is. It just doesn't respect it. https://t.co/UbMs5RfGev - @NBCNewsTHINK
2021-06-30 19:02:42+00:00,"Phylicia Rashad, who co-starred as Clair Huxtable alongside Bill Cosby in 'The Cosby Show,' defends Cosby after his sexual assault conviction was overturned: ""A terrible wrong is being righted."" https://t.co/225ro11IWR"
2021-06-30 17:03:55+00:00,https://t.co/hdynmwxgl8
2021-06-30 02:32:05+00:00,"Actor Kyle Massey, who starred on 'That's So Raven' and other Disney Channel shows, is accused of sending pornographic material to a 13-year-old girl, according to court documents. https://t.co/yXhmEdHl6Q"
2021-06-30 04:56:56+00:00,"RT @SECNetwork: The Dawgs win BIG and force a Game 3‼️

@HailStateBB | #CWS https://t.co/Rlm7prPRmT"
2021-06-30 02:52:58+00:00,"With Trae out injured, the Hawks tie up the series, 2-2 🔥 https://t.co/sH8nZ8x6ty"
2021-06-30 18:55:55+00:00,Who else looks like Jessica Alba’s family after watching gymnastics? 😂 #EverydayOlympics #TokyoOlympics https://t.co/SfWWJJEYpv
2021-06-30 21:47:04+00:00,RT @andy_murray: 🔥❤️ https://t.co/Aj8cp6EKzY
2021-06-30 19:30:00+00:00,"1️⃣1️⃣ returning Paralympians 🥇 🥈 🥉
1️⃣2️⃣ debutants 💫

Great Britain's swimmers have been decided for this summer's Tokyo Games!"
2021-06-30 16:20:00+00:00,"Global entertainment platform TikTok will sponsor Wrexham FC - now owned by Hollywood stars Ryan Reynolds and Rob McElhenney - for the next two seasons.

#bbcfootball"
2021-06-30 22:05:02+00:00,"Astronomers look for distant planets by watching for the shadow the worlds cast when passing between their star and Earth. If any aliens are searching for other intelligent life, they could spot us using the same trick. https://t.co/FLpa9nOSuI https://t.co/PcmLFdCas9"
2021-06-30 17:20:00+00:00,A cosmic analog of tree rings hints at how the bar’s spin slowed over time. https://t.co/K3OnnLWMEG
2021-06-30 15:17:19+00:00,Most people avoid poop. Maybe that’s why they haven’t discovered a new creature. https://t.co/PBZdyK8aQl
2021-06-30 01:35:00+00:00,"Lemon Frost geckos may look cute, but they have an unfortunate tendency to develop skin tumors. Now, scientists know why. https://t.co/3RlDKoORFR"
2021-06-30 23:06:07+00:00,Nodes &amp; Links raises $11M to — maybe — save billions on the big projects the world needs now https://t.co/Xb5dfREhLv by @mikebutcher
2021-06-30 17:49:44+00:00,Apple just released the first iOS 15 beta to everyone https://t.co/wywfte818g by @romaindillet
2021-06-30 17:29:02+00:00,"☀️Save 10% on @ExtraCrunch membership with the Summer Sale ☀️

Offer ends July 5 https://t.co/M9wStGzxQu https://t.co/vtJAIdt9h8"
2021-06-30 14:56:03+00:00,Instagram is developing its own version of Twitter's Super Follow with 'Exclusive Stories' https://t.co/jh3hZ7YSxh by @sarahintampa
2021-06-30 13:41:07+00:00,Pittsburgh's Locomation puts a convoy twist on autonomous trucking https://t.co/rD0LrECz3e by @kirstenkorosec
2021-06-30 23:06:30+00:00,New Scientist Photography awards: Five pictures to inspire your entry https://t.co/jfelYNFBNb https://t.co/OIUSCJqww9
2021-06-30 15:32:56+00:00,White dwarf star is the size of the moon but more massive than the sun https://t.co/qaRjZokzUy https://t.co/cPaXdNKInI
2021-06-30 09:52:19+00:00,Jupiter's strange atmosphere may have formed in a gigantic shadow https://t.co/xbJY1fFeX7 https://t.co/zgGpnOCRZ8
2021-06-30 07:46:17+00:00,New Scientist Photography awards: Five pictures to inspire your entry https://t.co/MfCzh7aAUw https://t.co/wKdxecMHCp
2021-06-30 06:46:33+00:00,We finally know when the first stars in the universe switched on https://t.co/l5RWxAiBaQ https://t.co/CTuAuMH7EG
2021-06-30 05:51:16+00:00,Clays found in Martian crater hint that the planet was once habitable https://t.co/5WuELn9vYX https://t.co/UuEqDERKmc
2021-06-30 22:30:04+00:00,Drop Fake raises $9M to hit the reset button for gaming authenticity https://t.co/xvukl1ieAQ
2021-06-30 19:15:13+00:00,FPS documentary will capture the history of first-person shooter games https://t.co/sGozMKfi27 by @deantak
2021-06-30 16:00:38+00:00,Former Blizzard devs open a new LA studio for Tencent Games https://t.co/iEnqIUSeom by @tolkoto
