created_at,full_text
2021-06-30 22:00:19+00:00,Wednesday’s vote fell largely along party lines. https://t.co/0INJ1wIaud
2021-06-30 21:44:13+00:00,BREAKING: NCAA clears athletes for compensation as state laws kick in https://t.co/Ikaje6EKbD
2021-06-30 22:00:19+00:00,Wednesday’s vote fell largely along party lines. https://t.co/0INJ1wIaud
2021-06-30 21:44:13+00:00,BREAKING: NCAA clears athletes for compensation as state laws kick in https://t.co/Ikaje6EKbD
2021-06-30 16:41:03+00:00,Singapore wants to stop counting Covid cases. Its roadmap could be a model for other countries. https://t.co/kN6GRVa5nT https://t.co/W8iG0AQxX4
2021-06-30 13:44:03+00:00,Singapore wants to stop counting Covid cases. Its roadmap could be a model for other countries. https://t.co/ynRZGJYnZP https://t.co/gmUKIykKYG
2021-06-30 12:45:02+00:00,"Oxygen prices in Indonesia's capital had more than doubled and some suppliers reported shortages on Tuesday after a surge in Covid-19 cases that prompted the Red Cross to warn of a coronavirus ""catastrophe"" https://t.co/oO1KzMs6un"
2021-06-30 10:16:06+00:00,Singapore wants to stop counting Covid cases. Its roadmap could be a model for other countries. https://t.co/WTu5URhG9q https://t.co/xIujrDiClc
2021-06-30 08:53:05+00:00,"Oxygen prices in Indonesia's capital had more than doubled and some suppliers reported shortages on Tuesday after a surge in Covid-19 cases that prompted the Red Cross to warn of a coronavirus ""catastrophe"" https://t.co/dT1qHk7Ntc"
2021-06-30 08:03:21+00:00,"More than 230 deaths have been reported in British Columbia since Friday as a historic heat wave brought record-high temperatures, officials said Tuesday. The province's chief coroner called it an ""unprecedented time."" https://t.co/HdpR1dpsMa"
2021-06-30 01:59:16+00:00,"More than 230 deaths have been reported in British Columbia since Friday as a historic heat wave brought record-high temperatures, officials said Tuesday. The province's chief coroner called it an ""unprecedented time."" https://t.co/eIEVbAiKYy"
2021-06-30 01:31:06+00:00,"Dana Santas, a breathing, mobility, and mind-body coach in professional sports, demonstrates four yoga poses that will help you prepare your body for sleep https://t.co/etikNNTTFI https://t.co/TjPMzo9qjU"
2021-06-30 14:20:10+00:00,"RT @antontroian: Russia reported 669 Covid deaths today, and only 15% of the population is vaccinated despite Sputnik V's availability for…"
2021-06-30 12:20:04+00:00,"The Delta coronavirus variant is one of several “variants of concern,” according to the CDC and WHO.

It has spread rapidly through India and Britain, and its prevalence in the U.S. doubled in the last two weeks.

Here’s what to know.
https://t.co/gs5I46K4ot"
2021-06-30 01:10:02+00:00,"The painful procedures. The loss of control over your own body. The never-ending blood tests. For women who have endured the terror of fertility treatments, writer Dina Gachman asks, is an exaggerated Hollywood version really necessary?
https://t.co/j3TMLll7Ov"
2021-06-30 23:46:32+00:00,"Air Force revises physical fitness test to allow walking, planks https://t.co/EgKWNzi4mV"
2021-06-30 20:37:06+00:00,"Common cold or Covid-19? Upper respiratory symptoms are growing more prevalent, doctors say. https://t.co/wLXAZFX0gY"
2021-06-30 18:18:07+00:00,Ikea debuts Pride-themed sofas to mixed reactions. https://t.co/knIik0wOnZ
2021-06-30 14:37:24+00:00,"When you know, you know 👋😂 https://t.co/aZVkfIsOhf"
2021-06-30 09:45:00+00:00,"The earliest plague strain lurked in 5,000-year-old bone and teeth. https://t.co/z4O4Ei0QuD"
2021-06-30 16:16:58+00:00,LIVE: The WHO discusses COVID-19 vaccine effectiveness https://t.co/eDO0HIOZCo
2021-06-30 13:06:57+00:00,"Ro buys Kit, a 17-month-old startup that offers at-home health testing https://t.co/cuI62Ipo3A by @nmasc_"
2021-06-30 17:49:02+00:00,Brain changes from covid-19 may impact consciousness and cognition https://t.co/n9R3CEWqXk https://t.co/z6nV659cYl
2021-06-30 15:17:16+00:00,Brain changes from covid-19 may impact consciousness and cognition https://t.co/bLEw6mXzLn https://t.co/7fJgubw87Y
2021-06-30 17:28:38+00:00,RT @BBCNews: NHS plans booster Covid jab for those 50 and over before winter https://t.co/icTskjt6ii
2021-06-30 16:39:04+00:00,"2m social distancing rule to be scrapped for students in Wales in autumn

https://t.co/DJQqKO5kEu"
2021-06-30 16:21:14+00:00,"Eight-storey union flag planned for UK government building in Cardiff 

https://t.co/LkTI5WhLNm"
2021-06-30 14:58:33+00:00,"EU postpones ban on British meat sales in NI

https://t.co/AlowpqoD2s"
2021-06-30 07:31:17+00:00,"RT @BBCNews: Covid cases may be on the up but hospital admissions and deaths are increasing more slowly

@adamfleming says its likely we'll…"
2021-06-30 13:14:25+00:00,Selena Gomez's Fitness Routine Will Have You Working Up a Sweat https://t.co/5OQyuqN1Gm
2021-06-30 12:52:38+00:00,We Tried Hyram Yarbro's Skincare Line &amp; It's Worth the Hype https://t.co/jzwFP30F9Z
2021-06-30 15:54:40+00:00,RT @iLeoSheng: Are y’all ready??? https://t.co/KFRBh6vKYo
2021-06-30 10:47:13+00:00,The #Malta ministry for health has announced that all arrivals from the United Kingdom will need to present proof of full vaccination in the form of the #NHS Covid-19 Vaccination Certificate Letter issued by the NHS https://t.co/r9GTE24Qyj
2021-06-30 20:17:07+00:00,"Bosses, get ready for more resignations https://t.co/lnx595vx2r"
2021-06-30 15:37:04+00:00,Residents in Singapore who opt for the Chinese-made Sinovac vaccine won’t get the same benefits as those who received government-approved Pfizer and Moderna shots https://t.co/W38LDQBQKM
2021-06-30 15:07:05+00:00,India cuts spending limits for some of its ministries and departments as the second wave of coronavirus infections strains the country’s finances https://t.co/tZtlQSp7JQ
2021-06-30 15:06:03+00:00,The Serum Institute of India expects European drug regulators to approve Covishield -- the Covid-19 shot it manufactures in partnership with AstraZeneca -- in a few weeks https://t.co/FNdBx43OS4
2021-06-30 06:35:57+00:00,"Imagine this. The year is 2029 and mRNA is being used to treat cancer, heart disease and neurological disorders. But biohacktivists want to take the technology even further https://t.co/ZyisgzMW34"
2021-06-30 23:45:57+00:00,India cuts spending limits for some of its ministries and departments as the second wave of coronavirus infections strains the country’s finances https://t.co/bsoK6EVUeX
2021-06-30 09:45:25+00:00,"RT @lizzzburden: When 1 child in a school class has Covid and the rest are forced to self-isolate, it has a knock-on effect for working par…"
2021-06-30 01:45:07+00:00,"Bosses, get ready for more resignations https://t.co/SOfpCIj2io"
2021-06-30 14:28:54+00:00,The Serum Institute of India expects European drug regulators to approve Covishield -- the Covid-19 shot it manufactures in partnership with AstraZeneca -- in a few weeks https://t.co/YsQaXQHewc
2021-06-30 09:23:55+00:00,"RT @lizzzburden: When 1 child in a school class has Covid and the rest are forced to self-isolate, it has a knock-on effect for working par…"
2021-06-30 21:30:11+00:00,Millions of older and more vulnerable Britons are expected to receive Covid-19 booster shots from September to strengthen their resistance over the winter and curb new variants https://t.co/D6AL7l6bac
2021-06-30 06:00:15+00:00,Southern European countries are having to restrict foreign tourism or risk the rapid spread of the Delta coronavirus variant https://t.co/q7MqyJdpvq https://t.co/oOvOxbslyY
2021-06-30 03:00:03+00:00,Ministers are planning to end the 'bubble' self-isolation system in England’s schools in the autumn https://t.co/kNoB4xcrUo
2021-06-30 02:30:07+00:00,"Follow our live coronavirus coverage:
🇰🇵North Korea has warned about a 'grave incident' linked to Covid-19
🇺🇸US consumer confidence rose for a fifth straight month
🇮🇳India has added Moderna’s jab to its approved doses
Read more: https://t.co/MeRU7jFq4j"
2021-06-30 23:00:16+00:00,In pursuit of pearly whites? https://t.co/5WROZwAWL7
2021-06-30 21:00:10+00:00,We see plenty of orgasms in your future. https://t.co/heElWa9t83
2021-06-30 20:00:00+00:00,Your entire home will be in order and germ-free with these tips. @Microban24 #Sponsored https://t.co/YCYxBEddtv
2021-06-30 19:00:01+00:00,"Read this before you say ""ahh."" https://t.co/dGNqLpNl9i"
2021-06-30 18:00:00+00:00,These 5 celebrity trainers reveal their favorite treat foods 🍕🍫🍔: https://t.co/F2t4Ig0pOd https://t.co/lTg7ybw8pl
2021-06-30 09:09:33+00:00,"With Workers In Short Supply, Seniors Often Wait Months For Home Health Care https://t.co/IrFAc92Cda"
2021-06-30 23:45:06+00:00,"Finland's capital Helsinki will begin giving COVID-19 vaccines to children aged 12 to 15 who are at risk of contracting a severe coronavirus infection, the city said on Wednesday. https://t.co/mFIYXmxtQY"
2021-06-30 23:30:06+00:00,"The World Bank on Wednesday pledged to boost available funding for COVID-19 vaccine purchases and deployment to $20 billion from a previous target of $12 billion, citing a sharp increase in overall financing demand from developing countries. https://t.co/jgHmgkI66f"
2021-06-30 22:30:09+00:00,"Nearly 2,000 people who live in Scotland have attended a Euro 2020 event while infectious with COVID-19, Public Health Scotland said on Wednesday. https://t.co/jtNzxS2mbU"
2021-06-30 22:00:04+00:00,"Russia and Guatemala are in talks over delayed deliveries of Russia's Sputnik V vaccine but the Central American country has not asked for its money back, the Russian Direct Investment Fund (RDIF) said on Wednesday. https://t.co/WweAF6VaCk"
2021-06-30 21:30:05+00:00,"Switzerland will give 4 million doses of AstraZeneca (AZN.L) COVID-19 vaccine that it has reserved to the vaccine-sharing programme COVAX, the government said on Wednesday, to help address a massive discrepancy in shots for the developing world. https://t.co/ihjLi6fWMv"
2021-06-30 19:30:07+00:00,"Finland's capital Helsinki will begin giving COVID-19 vaccines to children aged 12 to 15 who are at risk of contracting a severe coronavirus infection, the city said on Wednesday. https://t.co/XmAFTyfp9X"
2021-06-30 19:15:10+00:00,"The World Bank on Wednesday pledged to boost available funding for COVID-19 vaccine purchases and deployment to $20 billion from a previous target of $12 billion, citing a sharp increase in overall financing demand from developing countries. https://t.co/6VgDaSAzT8"
2021-06-30 19:00:12+00:00,"Cambodia on Wednesday reported record daily rises in coronavirus deaths and cases, reaching what its government called the ""red line"" in its biggest outbreak so far. https://t.co/qSNF0U42Xq"
2021-06-30 18:15:11+00:00,"Nearly 2,000 people who live in Scotland have attended a Euro 2020 event while infectious with COVID-19, Public Health Scotland said on Wednesday. https://t.co/bGQHH7lOnh"
2021-06-30 17:45:14+00:00,"Russia and Guatemala are in talks over delayed deliveries of Russia's Sputnik V vaccine but the Central American country has not asked for its money back, the Russian Direct Investment Fund (RDIF) said on Wednesday. https://t.co/ZNDXFe3p9P"
2021-06-30 17:15:15+00:00,"Switzerland will give 4 million doses of AstraZeneca (AZN.L) COVID-19 vaccine that it has reserved to the vaccine-sharing programme COVAX, the government said on Wednesday, to help address a massive discrepancy in shots for the developing world. https://t.co/qsymyn7jCd"
2021-06-30 15:15:12+00:00,"Finland's capital Helsinki will begin giving COVID-19 vaccines to children aged 12 to 15 who are at risk of contracting a severe coronavirus infection, the city said on Wednesday. https://t.co/FzXYDTMRj3"
2021-06-30 15:00:09+00:00,"India's Bharat Biotech said on Wednesday it followed a ""step-by-step"" approach for the regulatory approval and supply contract of its COVID-19 vaccine in Brazil, and that it has not received advance payments from the Brazilian health ministry. https://t.co/3S4eM4l3yo"
2021-06-30 14:45:14+00:00,"Cambodia on Wednesday reported record daily rises in coronavirus deaths and cases, reaching what its government called the ""red line"" in its biggest outbreak so far. https://t.co/BbxNOzR7UM"
2021-06-30 14:00:18+00:00,"Nearly 2,000 people who live in Scotland have attended a Euro 2020 event while infectious with COVID-19, Public Health Scotland said on Wednesday. https://t.co/MGBOtc3vsT"
2021-06-30 13:00:10+00:00,"Switzerland will give 4 million doses of AstraZeneca (AZN.L) COVID-19 vaccine that it has reserved to the vaccine-sharing programme COVAX, the government said on Wednesday, to help address a massive discrepancy in shots for the developing world. https://t.co/bF6mTWvjv6"
2021-06-30 10:45:04+00:00,"India's Bharat Biotech said on Wednesday it followed a ""step-by-step"" approach for the regulatory approval and supply contract of its COVID-19 vaccine in Brazil, and that it has not received advance payments from the Brazilian health ministry. https://t.co/hrciy4dYpr"
2021-06-30 10:30:05+00:00,"Cambodia on Wednesday reported record daily rises in coronavirus deaths and cases, reaching what its government called the ""red line"" in its biggest outbreak so far. https://t.co/Mtxbv7LxcK"
2021-06-30 06:30:11+00:00,"India's Bharat Biotech said on Wednesday it followed a ""step-by-step"" approach for the regulatory approval and supply contract of its COVID-19 vaccine in Brazil, and that it has not received advance payments from the Brazilian health ministry. https://t.co/DtOrwggZ6H"
2021-06-30 03:15:09+00:00,Guatemalan Health Minister Amelia Flores said on Tuesday that the government had asked Russia to return money already paid for doses of the Sputnik V COVID-19 vaccine because of non-delivery. https://t.co/AaLLW10TMB
2021-06-30 01:30:09+00:00,"Malta will introduce tighter COVID-19 rules on Wednesday, banning British visitors who are not fully vaccinated in an effort to prevent the spread of the Delta variant of the coronavirus, the health ministry said. https://t.co/wSB3CuB943"
2021-06-30 00:15:05+00:00,Brazilian health regulator Anvisa has canceled a request for emergency use authorization for the COVID-19 vaccine developed by China's CanSino Biologics Inc (https://t.co/7o9q8rqO24) after the laboratory cut ties with its Brazilian representative. https://t.co/SWMXMIvmF2
