created_at,full_text
2021-06-30 22:38:22+00:00,"NEW: Corrected numbers released Wednesday showed Adams, a former police captain and state senator, leading former sanitatio commissioner Kathryn Garcia by 14,755 votes. https://t.co/gECq49wgbg"
2021-06-30 21:38:45+00:00,"Although President Joe Biden won a majority of votes from Hispanics, 59 percent in the 2020 race, there was a significant difference in preference based on education, Pew Research Center reported. https://t.co/8cKrCc3hSt"
2021-06-30 21:25:59+00:00,"Mark Grods, 54, is the second person affiliated with the Oath Keepers to admit to participating in the conspiracy to block the certification of President Joe Biden's victory and agree to cooperate in the Department of Justice's massive investigation. https://t.co/LZHuTkAe5T"
2021-06-30 20:16:05+00:00,Two Republicans — Cheney and Kinzinger — joined the Democrats in approving the new panel. https://t.co/DHjKvbGYfe
2021-06-30 19:28:41+00:00,"BREAKING: Donald Rumsfeld, who was instrumental in shaping the United States’ controversial and ongoing war on terror under the George W. Bush administration, has died. He was 88. https://t.co/1kx4943BTE"
2021-06-30 22:38:22+00:00,"NEW: Corrected numbers released Wednesday showed Adams, a former police captain and state senator, leading former sanitatio commissioner Kathryn Garcia by 14,755 votes. https://t.co/gECq49wgbg"
2021-06-30 21:38:45+00:00,"Although President Joe Biden won a majority of votes from Hispanics, 59 percent in the 2020 race, there was a significant difference in preference based on education, Pew Research Center reported. https://t.co/8cKrCc3hSt"
2021-06-30 21:25:59+00:00,"Mark Grods, 54, is the second person affiliated with the Oath Keepers to admit to participating in the conspiracy to block the certification of President Joe Biden's victory and agree to cooperate in the Department of Justice's massive investigation. https://t.co/LZHuTkAe5T"
2021-06-30 02:30:26+00:00,The research may also help alleviate concerns that vaccines may lose their potency if annual inoculations are needed https://t.co/sTpXQS4TGm
2021-06-30 20:16:05+00:00,Two Republicans — Cheney and Kinzinger — joined the Democrats in approving the new panel. https://t.co/DHjKvbGYfe
2021-06-30 19:28:41+00:00,"BREAKING: Donald Rumsfeld, who was instrumental in shaping the United States’ controversial and ongoing war on terror under the George W. Bush administration, has died. He was 88. https://t.co/1kx4943BTE"
2021-06-30 02:30:26+00:00,The research may also help alleviate concerns that vaccines may lose their potency if annual inoculations are needed https://t.co/sTpXQS4TGm
2021-06-30 01:32:11+00:00,Trump’s demands to the state party to do more to indulge his election falsehoods have frustrated leading Republicans while exposing the devil’s bargain that many GOP lawmakers have made with him: Acceding to his ultimatums is never sufficient. https://t.co/3KxrITkBgY
2021-06-30 01:12:15+00:00,"Amid talks of compromise on a bipartisan infrastructure deal, some Democrats say they won’t fall in line without the promise of another piece of legislation on President Joe Biden’s desk... https://t.co/40LGCqMnvY"
2021-06-30 00:13:03+00:00,"Under the measure, Chief Justice Roger B. Taney’s bust would be replaced with one of Thurgood Marshall, the first Black Supreme Court justice.  https://t.co/Un89d3kZ1i"
2021-06-30 22:31:10+00:00,"Official portraits of the Obamas are on display at the Art Institute of Chicago, where the couple had their very first date. https://t.co/TqyePvqXp1 https://t.co/KlVzlBg52c"
2021-06-30 20:10:12+00:00,"Only two US House Republicans voted to create a select committee to investigate the deadly January 6 attack on the US Capitol, and both are frequent critics of former President Donald Trump

• Rep. Liz Cheney of Wyoming
• Rep. Adam Kinzinger of Illinois

https://t.co/xNGlipkjbK"
2021-06-30 19:59:57+00:00,"JUST IN: The US House has approved the formation of a new select committee that will investigate the January 6 insurrection at the US Capitol, in a vote falling mostly along party lines https://t.co/RzBx4kc9d5"
2021-06-30 19:36:19+00:00,"Former US Secretary of Defense Donald Rumsfeld has died at the age of 88, according to his family https://t.co/DlEnuzBq8v"
2021-06-30 18:51:38+00:00,"Bill Cosby has been released from prison, according to the Pennsylvania Department of Corrections https://t.co/GHqvS933Ke"
2021-06-30 18:30:25+00:00,"Berkshire Hathaway vice chairman Charlie Munger praised the Chinese government for silencing Alibaba's Jack Ma in a recent interview, adding that he wishes US financial regulators were more like those in China. https://t.co/gJBbVACAoQ"
2021-06-30 15:01:09+00:00,The Chinese Communist Party is about to turn 100 but Xi will be the real star | Analysis by @Ben_Westcott https://t.co/e1R6i5ABUJ https://t.co/yEVhWOO0HJ
2021-06-30 10:47:02+00:00,The Chinese Communist Party is about to turn 100 but Xi will be the real star | Analysis by @Ben_Westcott https://t.co/qTM95jhzIB https://t.co/rHGSi83Ict
2021-06-30 06:56:41+00:00,The Chinese Communist Party is about to turn 100 but Xi will be the real star | Analysis by @Ben_Westcott https://t.co/RHOXSubMBo https://t.co/7nB2O7TWEf
2021-06-30 04:31:02+00:00,First lady Jill Biden is on the new cover of Vogue magazine https://t.co/poTFEQOl60 https://t.co/kAqKLfkNEQ
2021-06-30 03:31:57+00:00,"Microsoft on Wednesday will argue forcefully before Congress that the US government has abused the use of gag orders to keep subpoenas and warrants secret in law enforcement investigations, and will call for new restrictions on their use https://t.co/xi1ofpjEPu"
2021-06-30 00:01:09+00:00,"Former US President Barack Obama said the rise in misinformation that led to the Capitol riot was apparent during his administration, but the speed and prevalence with which it has increased in recent years worry him: ""And I think we should all be worried"" https://t.co/Fq0KmxMz2l"
2021-06-30 23:50:05+00:00,"In what was effectively a news conference during his visit on Wednesday, Gov Greg Abbott of Texas and other officials described the border situation to Donald Trump as though they were briefing a sitting president. https://t.co/jCjFtQBA0w"
2021-06-30 23:40:04+00:00,RT @reidepstein: South Dakota Gov. Kristi Noem found a billionaire donor to underwrite a deployment of SD National Guard troops to the Texa…
2021-06-30 19:42:29+00:00,"Breaking News: Donald Rumsfeld is dead at 88. The secretary of defense for two presidents, he was in charge of the invasion of Iraq under George W. Bush. https://t.co/9bds0sL5i9"
2021-06-30 18:35:25+00:00,"Eric Adams filed a lawsuit on Wednesday to reserve his right to challenge results in the Democratic primary for New York City mayor. The suit comes a day after he criticized the city Board of Elections for accidentally counting 135,000 test ballots. https://t.co/b2t8ky2wZN"
2021-06-30 18:20:06+00:00,The House voted on Tuesday to remove statues honoring Confederate and other white supremacist leaders from public display at the United States Capitol. https://t.co/zVdlYkyA3v https://t.co/U22KDEszxH
2021-06-30 17:15:08+00:00,What exactly went wrong with the New York City mayor's race yesterday? Here's a recap of the chaos. https://t.co/M2qNbZ634M
2021-06-30 16:53:39+00:00,"Now, confidence in New York City’s election process is at stake. That preliminary tally is now expected Wednesday afternoon, though official results that include counts of absentee ballots will not be released until later in July. https://t.co/1WfzjbQo0Q"
2021-06-30 16:51:39+00:00,"Last year, the Board of Elections sent erroneous ballots to nearly 100,000 New Yorkers seeking to vote by mail, a massive glitch that raised doubts about the city’s ability to handle the millions of mail-in ballots expected in the presidential election. https://t.co/JAuAmEDdlA"
2021-06-30 16:16:18+00:00,"We charted how instigators set off a wave of violence that engulfed the building, and how failures by police leaders put rank-and-file officers in danger, allowing a frenzy to take hold.

For more, watch the full investigation here: https://t.co/hD7pVk90u9"
