created_at,full_text
2021-06-30 00:52:54+00:00,"""It was like an earthquake."" https://t.co/krJACKVZhH"
2021-06-30 14:45:10+00:00,"Humanity has been ravaged by the plague -- one of the deadliest bacterial infections in history -- for thousands of years. 

Now, scientists have found an ancient strain of the bacteria in the world's oldest known plague victim. https://t.co/pc1erruL8V"
2021-06-30 11:16:24+00:00,"Humanity has been ravaged by the plague -- one of the deadliest bacterial infections in history -- for thousands of years. 

Now, scientists have found an ancient strain of the bacteria in the world's oldest known plague victim. https://t.co/F4ZZ6OIccO"
2021-06-30 01:40:12+00:00,"Keneiloe Molopyane answered the call to join the second generation of scientists known as ""underground astronauts.""

The original crew garnered the world's attention in 2015 when they helped unearth the remains of a previously unknown human species. https://t.co/PvgdWJ5Exl"
2021-06-30 15:35:09+00:00,How many words can you make with 7 letters? Try today’s Spelling Bee. https://t.co/5i4JeBF1eo https://t.co/tK4TCgCuXI
2021-06-30 02:00:13+00:00,How many words can you make with 7 letters? Try today’s Spelling Bee. https://t.co/irnixdwUNI https://t.co/BLgsju25oD
2021-06-30 12:24:40+00:00,"Maine confirms tick-borne Powassan virus case: symptoms to watch for

https://t.co/X5Z5Ex6qWN"
2021-06-30 21:57:04+00:00,World Wide Web source code NFT sells for $5.4M. https://t.co/3ReDzPvOZV
2021-06-30 19:26:05+00:00,"Virgin Orbit launches 7 satellites into orbit, marking its first commercial mission. https://t.co/EYxtZe2eo7"
2021-06-30 15:01:06+00:00,"SpaceX was seconds away from launching its 20th mission of this year when the countdown was halted due to an aircraft entering the launch range, prompting Elon Musk to voice his frustrations on Twitter. https://t.co/DgyBo5fJVN"
2021-06-30 12:31:07+00:00,"SpaceX was seconds away from launching its 20th mission of this year when the countdown was halted due to an aircraft entering the launch range, prompting Elon Musk to voice his frustrations on Twitter. https://t.co/QrPcgGmsFp"
2021-06-30 23:50:00+00:00,Some birds may use a quantum compass to navigate. https://t.co/28QebAxUsk
2021-06-30 19:30:03+00:00,"In mice, a ‘rejuvenation event’ wipes out genetic signs of aging days after fertilization.  https://t.co/tMGQuCtgG7 https://t.co/10zYdIXfZK"
2021-06-30 16:20:00+00:00,"Barely past his teen years as the Manhattan Project ramped up, J. Ernest Wilkins, Jr., a Black mathematician, nuclear scientist and optics researcher, began working with the top physicists of the time. #SN100 https://t.co/0XqUb2YQ0S https://t.co/iohw1zyH3l"
2021-06-30 15:13:33+00:00,"The live parasite vaccine showed 87.5 percent efficacy in a small group of healthy adult participants.
 https://t.co/wF0YGJt6Y2"
2021-06-30 14:35:02+00:00,An elusive source of gravitational ripples has finally been found. https://t.co/iraC0viiSi https://t.co/Zbgwi9gG76
2021-06-30 12:20:01+00:00,"""This is a climate that we're not accustomed to.""
 https://t.co/VcKaoFcJem https://t.co/7FsxMV5T8O"
