created_at,full_text
2021-06-30 21:06:51+00:00,"The International Surfing Association has been lobbying the International Olympic Committee since 1995, though the effort to include the sport dates back to the 1912 Summer Games in Stockholm. https://t.co/T5ef40oFeY"
2021-06-30 16:21:00+00:00,Fred the bloodhound was able to successfully locate the child after smelling something that belonged to the father and tracking the two down via scent https://t.co/7B6G38oeKA
2021-06-30 11:52:28+00:00,"""Do you think that's reckless and irresponsible?,"" he added, pushing back at a jibe from Gov. Tony Evers. ""I think it's called compassion. I think it's showing concern for your fellow human beings who have stepped up."" https://t.co/I3W726OYSn"
2021-06-30 21:06:51+00:00,"The International Surfing Association has been lobbying the International Olympic Committee since 1995, though the effort to include the sport dates back to the 1912 Summer Games in Stockholm. https://t.co/T5ef40oFeY"
2021-06-30 16:21:00+00:00,Fred the bloodhound was able to successfully locate the child after smelling something that belonged to the father and tracking the two down via scent https://t.co/7B6G38oeKA
2021-06-30 11:52:28+00:00,"""Do you think that's reckless and irresponsible?,"" he added, pushing back at a jibe from Gov. Tony Evers. ""I think it's called compassion. I think it's showing concern for your fellow human beings who have stepped up."" https://t.co/I3W726OYSn"
2021-06-30 15:00:03+00:00,"""It's coming home!"" 

English fans celebrated wildly after England beat Germany 2-0 at #EURO2020 https://t.co/eKaayxR6Zn https://t.co/PZNyNHbvuZ"
2021-06-30 12:00:08+00:00,Organizers at #Wimbledon have defended the conditions of the grass following injuries to Serena Williams and Adrian Mannarino in back-to-back matches. https://t.co/hN289jpsE0
2021-06-30 10:09:01+00:00,"""It's coming home!"" 

English fans celebrated wildly after England beat Germany 2-0 at #EURO2020 https://t.co/eKaayy8InX https://t.co/zQjE3kPUAs"
2021-06-30 09:17:00+00:00,"England 2-0 Germany. 

Two late goals from Raheem Sterling and Harry Kane put England through to the quarterfinals of #EURO2020 on Tuesday. https://t.co/qUzB8nvpsH"
2021-06-30 03:13:58+00:00,Seven-time Wimbledon champion Serena Williams was forced to retire from her first-round match at the All England Club against Aliaksandra Sasnovich on Tuesday due to an injury suffered in the first set https://t.co/etJK4lwZRR
2021-06-30 12:30:04+00:00,"Slippery grass on Wimbledon’s Centre Court caused tournament-ending injuries in back-to-back matches. The competition’s organizers defended the conditions after Serena Williams, the seven-time champion, slipped and aggravated a hamstring injury.
https://t.co/4v4RDjcXwV"
2021-06-30 09:15:03+00:00,"RT @RorySmith: Now, at last, maybe the history doesn’t matter. England beat Germany in a knockout game, and all of the things that have alw…"
2021-06-30 17:53:03+00:00,"Cowboys' Dak Prescott won't reveal vaccination status, says people should 'educate themselves' on what's best
https://t.co/a99MVt9RLj"
2021-06-30 16:51:31+00:00,"Kevin Love's 'international experience' valuable to US Olympic roster, official says
https://t.co/b0MEuSjm4C"
2021-06-30 13:32:25+00:00,"Benoit Paire penalized, heckled during Wimbledon match
https://t.co/gzAFx5Bl1Y"
2021-06-30 13:24:54+00:00,"Serena Williams 'heartbroken' over withdrawing from Wimbledon match
https://t.co/6jRjBNfJN7"
2021-06-30 22:00:02+00:00,"In one hour, winner takes all 🏆

#CWS | 📺: 7 PM ET on ESPN2 https://t.co/DRmNQq5xoY"
2021-06-30 21:34:06+00:00,"All champions in their respective sports, but who's your winner? 

(📍 @CapitalOne)"
2021-06-30 21:16:37+00:00,"The #WNBAAllStar 2021 roster is officially set 🤩

They'll face Team USA, whose members are competing in the upcoming Olympics, on July 14 at 7 PM ET on ESPN.

(via The Jump) https://t.co/P8EJ8Nbqil"
2021-06-30 20:00:00+00:00,"Bet. is back! @JoeFortenbaugh and @Tyler_Fulghum welcome in @ChaelSonnen to break down the July 10 fight between Conor McGregor and Dustin Poirier, and @NotoriousOHM is back to talk everything Suns vs. Clippers! https://t.co/zhBWa5BepX"
2021-06-30 14:32:27+00:00,"RT @PaulBiancardi: ESPN top 25 men's basketball recruits regardless of class. 
https://t.co/DHmipeVL8r"
2021-06-30 14:06:06+00:00,"Two years ago today, Kyrie and KD announced their plans to sign with the Nets 📝 https://t.co/Fi7IkYCAA8"
2021-06-30 12:56:34+00:00,"RT @ESPNPlus: .@Dak Prescott tells @sagesteele how badly he wanted to get off the field after breaking his leg 😦

(Segment contains graphic…"
2021-06-30 02:25:19+00:00,Thanasis helped Giannis back to the locker room after he suffered an apparent knee injury. https://t.co/uGtCv0jctT
2021-06-30 00:01:37+00:00,"Jonquel Jones ... at the half 🤯

☀️ 19 Pts
☀️ 11 Reb
☀️ 3 Ast
☀️ 1 Blk
☀️ 1 Stl

📺 ESPN2 https://t.co/Cf6HKwUx6l"
2021-06-30 21:44:47+00:00,Andy Murray continued his #Wimbledon run with a vintage comeback to defeat German qualifier Oscar Otte in five thrilling sets under the Centre Court roof on Wednesday.
2021-06-30 21:37:56+00:00,"Rochdale have ""reluctantly"" released manager Brian Barry-Murphy from his contract at his request, following their relegation to League Two."
2021-06-30 20:51:38+00:00,"""There was pressure on both clubs to get this deal done."" 🤝

Dharmesh Sheth explains why both #MUFC and #BVB will 'claim victory' in the proposed deal - worth in the region of £73m - for Jadon Sancho to join the Premier League club. https://t.co/oTu5lrnyTM"
2021-06-30 19:23:08+00:00,BREAKING: #THFC have appointed Nuno Espirito Santo as their new head coach.
2021-06-30 18:18:52+00:00,BREAKING: #MUFC have agreed a deal in principle with Borussia Dortmund for the signing of forward Jadon Sancho.
2021-06-30 17:56:35+00:00,World 400m champion Salwa Eid Naser will miss the #Tokyo2020 Olympics this summer after being handed a two-year ban following an issue of missed drug tests.
2021-06-30 17:32:19+00:00,"Ryan Ramczyk has agreed to a five-year, $96m extension with the New Orleans Saints, making him the highest-paid right tackle in the NFL."
2021-06-30 16:52:00+00:00,Rafael Benitez says his past allegiances with Liverpool should not be a concern for Everton fans after he was appointed as the club's new manager 🙌 https://t.co/elgCXGrJvT
2021-06-30 16:50:28+00:00,"😎 | John Barnes performs for #ENG fans!
🎯 | Carra: Sterling is the main man!
🧤 | David Seaman on Jordan Pickford at #EURO2020...

It's @TAGHeuer's 60 second round-up with Sky Sports News! https://t.co/H7oRBq8Ak6"
2021-06-30 15:33:19+00:00,"Everton supporters remain divided over the appointment of former Liverpool boss Rafael Benitez as their new manager, says Sky Sports News' Vinny O'Connor. https://t.co/osXGm6a4uq"
2021-06-30 14:15:16+00:00,BREAKING: Rafael Benitez appointed Everton manager on a three-year deal.
2021-06-30 13:36:38+00:00,"""Sir Raheem Sterling!"" 🏴󠁧󠁢󠁥󠁮󠁧󠁿⚔️

Rapper and author @GuvnaB asks the Queen to give Raheem Sterling a knighthood after #ENG's win over #GER at #Euro2020 ❤️️ https://t.co/usBR0cOHgj"
2021-06-30 12:36:46+00:00,"After 1⃣5⃣ years in charge and the high of World Cup glory in 2014, Joachim Low ended his reign as #GER head coach by apologising and shouldering the blame for their #Euro2020 exit at the hands of #ENG"
2021-06-30 12:32:01+00:00,"Nearly 2,000 Covid-19 cases in Scotland have been linked to football fans watching Euro 2020 fixtures."
2021-06-30 11:44:13+00:00,The #ENG players are on a rest day at St George's Park after their victory over #GER as preparations for #UKR get underway https://t.co/2VO2td4MEL
2021-06-30 11:21:19+00:00,"Catch me if you can, cause I'm the England man 😏🎤

Fans watching #ENG beat #GER at Boxpark in Croydon were treated to John Barnes performing his famous rap from New Order's 1990 hit World in Motion 🏴󠁧󠁢󠁥󠁮󠁧󠁿🍻 https://t.co/KESdAN9tfk"
2021-06-30 10:44:43+00:00,Billy Gilmour is set to have a medical at Norwich tomorrow ahead of a season long loan from Chelsea
2021-06-30 10:24:00+00:00,"England fans tempted to travel from the UK to Italy for Saturday's Euro 2020 quarter-final have been told by a government minister they should ""watch from home""."
2021-06-30 10:01:13+00:00,BREAKING: Leicester City have completed the signing of Patson Daka from RB Salzburg for around £23million
2021-06-30 09:54:10+00:00,"🗣️ ""Good morning from the losers"" 😂

@Sky_Marc gives the view from #GER as fans are 'sad and angry' after #Euro2020 elimination v #ENG https://t.co/6ZYpsvYsCG"
2021-06-30 08:59:53+00:00,Rafael Benitez has arrived at Everton's Finch Farm training ground ahead of his unveiling as the club's new manager.
2021-06-30 08:20:24+00:00,#UKR boss Andriy Shevchenko is looking forward to facing a 'great' #ENG side on Saturday 🍿
2021-06-30 07:26:12+00:00,"Good night, @MarkWright_? 🤣

📺 Watch Mark and @MissBelaShah on Good Morning Euros now on Sky Sports News https://t.co/GDbKQPQl7g"
2021-06-30 07:10:00+00:00,"Sterling 9⃣
Pickford 9⃣
Grealish 8⃣

Any unsung #ENG players?"
2021-06-30 06:02:08+00:00,"How are the heads this morning? 🍺

Stormzy lead the #ENG celebrations in one fan park as the #ThreeLions beat #GER at Wembley https://t.co/W5pvwl74kP"
2021-06-30 05:57:51+00:00,"🗣️ ""That felt like a proper football match""

Harry Maguire hails the #ENG fans after a famous night at Wembley https://t.co/GvrOIm6cDB"
2021-06-30 05:55:35+00:00,"🗣️ ""The players were immense..."" 

That one meant a lot to Gareth Southgate 

#ENG | #ThreeLions 

https://t.co/k9jQztE05m"
2021-06-30 23:04:01+00:00,"If you could only watch one sport for the rest of your life, what sport would that be?"
2021-06-30 20:58:26+00:00,"This 4th inning grand slam gives the Brewers a 14-7 lead over the @Cubs.

They trailed 7-0 in the 1st inning 🤯

(Via @Brewers)

 https://t.co/0ztp9fzu4n"
2021-06-30 19:13:04+00:00,"Eight teams remain in #Euro2020.

These are the quarterfinal matchups for Friday and Saturday. https://t.co/KF5JPGKrKB"
2021-06-30 13:28:12+00:00,"It didn't look good for Giannis when he went down, and the reports are that the injury may be just as severe as feared. https://t.co/BvRNP0CAgL"
2021-06-30 11:53:10+00:00,"The International Gymnastics Federation made its draw overnight to determine the order of competition in the qualifying rounds at the #TokyoOlympics. 

Check out the results: https://t.co/aampaTAtcE"
2021-06-30 00:27:19+00:00,"Only two players in NHL history have unanimously won the Hart Trophy.

One is Wayne Gretzky. The other: https://t.co/CVHudBprHT"
2021-06-30 23:05:24+00:00,"This is not a drill! 

Lionel Messi - One of the world's greatest players is now officially a free agent. #bbcfootball"
2021-06-30 22:45:00+00:00,Chelsea owner Roman Abramovich remains confident the Blues can secure the signing of Erling Braut Haaland this summer. #bbcfootball #CFC
2021-06-30 22:30:00+00:00,Former England defender Steven Caulker is set to stay in Turkey after agreeing a deal to sign for Fenerbahce. #bbcfootball #ENG
