created_at,full_text
2021-06-30 22:13:06+00:00,"In mid-June, to the frustration of many on both sides of the border, Canada announced it was extending restrictions on nonessential travel until at least July 21. https://t.co/IHhMpoTYjM"
2021-06-30 22:13:06+00:00,"In mid-June, to the frustration of many on both sides of the border, Canada announced it was extending restrictions on nonessential travel until at least July 21. https://t.co/IHhMpoTYjM"
2021-06-30 14:00:36+00:00,"With more than 47 million Americans expected to travel over the Fourth of July weekend, prices are climbing.

What’s a last-minute, budget-minded traveler to do? Here are some tips for finding deals. https://t.co/NdktIxyqVw"
2021-06-30 18:33:07+00:00,"With almost 50,000,000 Americans traveling on July 4 weekend, you may need to pack your patience. https://t.co/xwA91lV3Nh"
2021-06-30 12:20:58+00:00,The construction industry generates massive amounts of data every day but 96% goes unused. (Sponsored) https://t.co/wBsq3PhDYT
2021-06-30 13:57:15+00:00,"Protection for steel industry from cheap imports ending on Wednesday

https://t.co/uM7V4JSgj0"
2021-06-30 07:33:35+00:00,"RT @BBCNews: ➡️ New research into Covid impact
➡️ Green travel list expanded
➡️ Death rate higher in Greater Manchester

Here are five thin…"
2021-06-30 13:55:06+00:00,"Alison Greenspan was behind films such as 'The Sisterhood of the Traveling Pants,' 'If I Stay' and 'What a Girl Wants.' https://t.co/JEMgj5jQQ9"
2021-06-30 10:27:13+00:00,".@Etihad Airways has extended its ‘Verified To Fly’ travel document initiative, enabling travellers to validate their Covid-19 travel documents before arriving at the airport, to routes across its global network. https://t.co/AP0u9ZfIeA"
2021-06-30 10:08:33+00:00,"The #Pavilions Hotels &amp; Resorts has launched brand, #Explorar Hotels &amp; Resorts, with the first resort, Explorar Pawapi Koh Mook, set to open its doors at the start of October
 https://t.co/7sAQ27eOjr"
2021-06-30 09:43:29+00:00,"#Mauritius will allow international travellers without Covid-19 vaccinations to enter the country, subject to undertaking a mandatory 14-day in hotel room quarantine https://t.co/YZvsy5S55r"
2021-06-30 08:48:23+00:00,Reed Exhibitions has confirmed International Golf Travel Market will return as a live event later this year #IGTM #Reed #Rx  https://t.co/0jXaVzgAfi
2021-06-30 22:11:59+00:00,RT @tissevilla: 📣 We are looking for experts capable of leading the reactivation of the #tourism and #travel industry. Do you want to be pa…
2021-06-30 22:11:54+00:00,"RT @NatGeoMag: The travel industry has embraced Pride Month, but for some transgender and nonbinary people leaving home triggers anxiety. h…"
2021-06-30 22:11:49+00:00,RT @skift: International Students Won’t Be Helping the U.S. Travel Industry This Fall https://t.co/xbodLtX7OX
2021-06-30 22:11:45+00:00,RT @GayPuglia: LGBTQ travelers leading the way to tourism recovery | “Gay travelers have a penchant for travel far greater than their heter…
2021-06-30 22:11:43+00:00,RT @wupplestravels: https://t.co/xBqEtpHoOm #travel #travelphotography #travelgram #traveling #travelling #travelblogger #traveltheworld #t…
2021-06-30 22:11:37+00:00,RT @sabinedewitte: Travel industry accelerates action on sustainability – will consumers follow? https://t.co/XCbpEUGTDh https://t.co/KEU3e…
2021-06-30 21:11:42+00:00,"RT @WOWT6News: The travel industry is not quite ready for the pent-up demand. In a matter of days, airlines have canceled hundreds of fligh…"
