dateTime,top0,top1,top2,top3,top4,top5,top6,top7,top8,top9
2021-06-30 00:00:00,16,7,7,11,9,3.0,8,6,1,6
2021-06-30 01:00:00,9,6,3,13,7,10.0,3,4,11,4
2021-06-30 02:00:00,16,1,10,9,3,2.0,6,9,2,5
2021-06-30 03:00:00,9,1,13,7,6,2.0,6,6,7,5
2021-06-30 04:00:00,9,4,4,10,2,4.0,2,5,7,7
2021-06-30 05:00:00,10,1,13,10,3,0.0,4,6,7,1
2021-06-30 06:00:00,4,6,9,4,4,4.0,5,8,4,5
2021-06-30 07:00:00,10,7,6,8,2,2.0,3,8,3,5
2021-06-30 08:00:00,4,6,10,8,3,3.0,7,9,1,8
2021-06-30 09:00:00,13,5,13,4,4,9.0,8,12,2,4
2021-06-30 10:00:00,14,8,11,9,5,8.0,7,16,10,7
2021-06-30 11:00:00,17,8,11,15,7,6.0,15,11,4,5
2021-06-30 12:00:00,16,12,11,14,10,13.0,13,11,9,4
2021-06-30 13:00:00,21,10,17,14,7,14.0,28,11,14,7
2021-06-30 14:00:00,19,13,21,22,16,5.0,17,16,21,14
2021-06-30 15:00:00,30,22,19,20,16,10.0,7,26,19,17
2021-06-30 16:00:00,19,17,12,12,15,24.0,13,19,13,13
2021-06-30 17:00:00,16,13,14,18,18,13.0,10,14,11,20
2021-06-30 18:00:00,12,8,11,15,13,12.0,9,13,13,14
2021-06-30 19:00:00,21,14,16,20,10,23.0,9,11,11,20
2021-06-30 20:00:00,13,11,11,11,17,14.0,7,12,9,9
2021-06-30 21:00:00,13,12,9,11,13,14.0,9,9,10,3
2021-06-30 22:00:00,16,10,10,9,11,11.0,8,14,11,13
2021-06-30 23:00:00,13,2,4,4,13,10.0,9,12,8,9
