dateTime,top0,top1,top2,top3,top4,top5,top6,top7,top8,top9
2021-06-24 00:00:00,7,6,13,1,11,7,7,4,12,11
2021-06-24 01:00:00,11,6,6,8,7,8,3,4,6,10
2021-06-24 02:00:00,12,4,13,5,6,6,6,9,6,9
2021-06-24 03:00:00,7,6,6,7,4,4,6,4,4,6
2021-06-24 04:00:00,9,5,3,4,5,7,3,3,2,12
2021-06-24 05:00:00,8,10,6,6,5,4,8,7,5,6
2021-06-24 06:00:00,3,4,4,7,8,7,7,6,1,8
2021-06-24 07:00:00,7,4,4,5,4,9,7,9,3,1
2021-06-24 08:00:00,14,10,2,3,3,2,11,9,8,6
2021-06-24 09:00:00,12,10,6,5,10,9,9,6,4,7
2021-06-24 10:00:00,8,9,8,12,4,9,5,8,14,15
2021-06-24 11:00:00,10,5,6,18,9,16,9,11,10,22
2021-06-24 12:00:00,26,16,14,13,12,15,16,7,19,15
2021-06-24 13:00:00,19,13,18,19,13,13,13,9,8,23
2021-06-24 14:00:00,24,18,13,17,11,15,17,9,17,14
2021-06-24 15:00:00,12,11,14,13,30,33,14,15,9,29
2021-06-24 16:00:00,19,13,8,14,10,13,21,14,11,19
2021-06-24 17:00:00,13,14,10,5,11,17,29,11,7,12
2021-06-24 18:00:00,16,10,17,12,13,11,16,9,18,10
2021-06-24 19:00:00,21,18,23,8,14,12,14,9,13,7
2021-06-24 20:00:00,23,8,19,6,11,11,13,8,3,10
2021-06-24 21:00:00,12,7,9,7,9,4,17,13,6,6
2021-06-24 22:00:00,8,10,8,7,10,9,19,4,5,16
2021-06-24 23:00:00,9,5,9,5,8,9,7,6,1,15
